
> /Users/squash/Local/Code/archiveboxes/archivebox-nue/.venv/lib/python3.14/site-packages/pytest/__main__.py archivebox/cli/test_version.py -v --tb=short; TS=2025-12-25__02:17:49 VERSION=0.8.6rc3 IN_DOCKER=False IS_TTY=False

> /Users/squash/Local/Code/archiveboxes/archivebox-nue/.venv/lib/python3.14/site-packages/pytest/__main__.py archivebox/cli/tests_piping.py::TestPipingWorkflowIntegration::test_snapshot_creates_and_outputs_jsonl -v --tb=short; TS=2025-12-25__02:18:12 VERSION=0.8.6rc3 IN_DOCKER=False IS_TTY=False

> /Users/squash/Local/Code/archiveboxes/archivebox-nue/.venv/lib/python3.14/site-packages/pytest/__main__.py archivebox/cli/test_version.py archivebox/cli/test_install.py -v --tb=short; TS=2025-12-25__02:19:15 VERSION=0.8.6rc3 IN_DOCKER=False IS_TTY=False

> -c; TS=2025-12-25__02:19:30 VERSION=0.8.6rc3 IN_DOCKER=False IS_TTY=False

> -c; TS=2025-12-25__02:19:39 VERSION=0.8.6rc3 IN_DOCKER=False IS_TTY=False

> /Users/squash/Local/Code/archiveboxes/archivebox-nue/.venv/lib/python3.14/site-packages/pytest/__main__.py archivebox/cli/tests_migrations.py -v --tb=short; TS=2025-12-25__02:23:46 VERSION=0.8.6rc3 IN_DOCKER=False IS_TTY=False

> /Users/squash/Local/Code/archiveboxes/archivebox-nue/archivebox/__main__.py manage migrate; TS=2025-12-25__02:28:59 VERSION=0.8.6rc3 IN_DOCKER=False IS_TTY=False

> /Users/squash/Local/Code/archiveboxes/archivebox-nue/archivebox/__main__.py manage migrate; TS=2025-12-25__02:29:01 VERSION=0.8.6rc3 IN_DOCKER=False IS_TTY=False

> /Users/squash/Local/Code/archiveboxes/archivebox-nue/archivebox/__main__.py manage migrate; TS=2025-12-25__02:29:03 VERSION=0.8.6rc3 IN_DOCKER=False IS_TTY=False

> /Users/squash/Local/Code/archiveboxes/archivebox-nue/archivebox/__main__.py manage migrate; TS=2025-12-25__02:29:04 VERSION=0.8.6rc3 IN_DOCKER=False IS_TTY=False

> /Users/squash/Local/Code/archiveboxes/archivebox-nue/archivebox/__main__.py manage migrate; TS=2025-12-25__02:29:06 VERSION=0.8.6rc3 IN_DOCKER=False IS_TTY=False

> /Users/squash/Local/Code/archiveboxes/archivebox-nue/archivebox/__main__.py manage migrate; TS=2025-12-25__02:29:08 VERSION=0.8.6rc3 IN_DOCKER=False IS_TTY=False

> /Users/squash/Local/Code/archiveboxes/archivebox-nue/archivebox/__main__.py manage migrate; TS=2025-12-25__02:29:09 VERSION=0.8.6rc3 IN_DOCKER=False IS_TTY=False

> /Users/squash/Local/Code/archiveboxes/archivebox-nue/archivebox/__main__.py manage migrate --run-syncdb; TS=2025-12-25__02:29:11 VERSION=0.8.6rc3 IN_DOCKER=False IS_TTY=False

> /Users/squash/Local/Code/archiveboxes/archivebox-nue/archivebox/__main__.py list; TS=2025-12-25__02:29:12 VERSION=0.8.6rc3 IN_DOCKER=False IS_TTY=False

